individual	time	statistic	proportion	rate_eur2afr	replicate
eur_16	10000	direct f4-ratio	0.014747233024229735	0.125	1
eur_17	8000	direct f4-ratio	0.020580317080466648	0.125	1
eur_18	6000	direct f4-ratio	0.007597965898893209	0.125	1
eur_19	4000	direct f4-ratio	0.0223152856715525	0.125	1
eur_20	2000	direct f4-ratio	0.03128926114268621	0.125	1
eur_21	0	direct f4-ratio	0.0052946455279688906	0.125	1
eur_1	40000	direct f4-ratio	-0.008860720548872412	0.15000000000000002	1
eur_2	38000	direct f4-ratio	0.008922253330461804	0.15000000000000002	1
eur_3	36000	direct f4-ratio	-0.011260499030858689	0.15000000000000002	1
eur_4	34000	direct f4-ratio	0.007845429652647447	0.15000000000000002	1
eur_5	32000	direct f4-ratio	0.006430175676091437	0.15000000000000002	1
eur_6	30000	direct f4-ratio	-0.00827615912377319	0.15000000000000002	1
eur_7	28000	direct f4-ratio	0.03507368550595329	0.15000000000000002	1
eur_8	26000	direct f4-ratio	-0.0037842660677475924	0.15000000000000002	1
eur_9	24000	direct f4-ratio	0.032489308679198844	0.15000000000000002	1
eur_10	22000	direct f4-ratio	0.00901455250284589	0.15000000000000002	1
eur_11	20000	direct f4-ratio	0.020367350706088666	0.15000000000000002	1
eur_12	18000	direct f4-ratio	0.011845060455957911	0.15000000000000002	1
eur_13	16000	direct f4-ratio	0.030058763806417865	0.15000000000000002	1
eur_14	14000	direct f4-ratio	-0.015044765098606281	0.15000000000000002	1
eur_15	12000	direct f4-ratio	0.0350429191151586	0.15000000000000002	1
eur_16	10000	direct f4-ratio	0.009260683629203457	0.15000000000000002	1
eur_17	8000	direct f4-ratio	0.01892133033873796	0.15000000000000002	1
eur_18	6000	direct f4-ratio	0.011352798203242776	0.15000000000000002	1
eur_19	4000	direct f4-ratio	0.012644986616620002	0.15000000000000002	1
eur_20	2000	direct f4-ratio	0.019290527028274312	0.15000000000000002	1
eur_21	0	direct f4-ratio	0.01984432206257884	0.15000000000000002	1
eur_1	40000	direct f4-ratio	0.01571098881590627	0.17500000000000002	1
eur_2	38000	direct f4-ratio	0.012604296112195988	0.17500000000000002	1
eur_3	36000	direct f4-ratio	0.041659269779276885	0.17500000000000002	1
eur_4	34000	direct f4-ratio	0.0078111130836144155	0.17500000000000002	1
eur_5	32000	direct f4-ratio	0.012959346706905735	0.17500000000000002	1
eur_6	30000	direct f4-ratio	0.038434226877330016	0.17500000000000002	1
eur_7	28000	direct f4-ratio	0.017486241789454997	0.17500000000000002	1
eur_8	26000	direct f4-ratio	0.013107284454701463	0.17500000000000002	1
eur_9	24000	direct f4-ratio	0.05068347239481626	0.17500000000000002	1
eur_10	22000	direct f4-ratio	0.032664654713296645	0.17500000000000002	1
eur_11	20000	direct f4-ratio	-0.0028108172081188236	0.17500000000000002	1
eur_12	18000	direct f4-ratio	-0.0010355642345700928	0.17500000000000002	1
eur_13	16000	direct f4-ratio	0.018817681519616547	0.17500000000000002	1
eur_14	14000	direct f4-ratio	0.026007456062488908	0.17500000000000002	1
eur_15	12000	direct f4-ratio	0.009704716255399728	0.17500000000000002	1
eur_16	10000	direct f4-ratio	0.0194390200603586	0.17500000000000002	1
eur_17	8000	direct f4-ratio	0.027901059234274217	0.17500000000000002	1
eur_18	6000	direct f4-ratio	0.02624415645896207	0.17500000000000002	1
eur_19	4000	direct f4-ratio	0.028729510621930295	0.17500000000000002	1
eur_20	2000	direct f4-ratio	0.024912716728800525	0.17500000000000002	1
eur_21	0	direct f4-ratio	0.02973548730694124	0.17500000000000002	1
eur_1	40000	direct f4-ratio	0.013323397913561848	0.2	1
eur_2	38000	direct f4-ratio	-0.001847988077496274	0.2	1
eur_3	36000	direct f4-ratio	0.001609538002980626	0.2	1
eur_4	34000	direct f4-ratio	0.01171385991058122	0.2	1
eur_5	32000	direct f4-ratio	0.006795827123695976	0.2	1
eur_6	30000	direct f4-ratio	0.006736214605067063	0.2	1
eur_7	28000	direct f4-ratio	0.016333830104321906	0.2	1
eur_8	26000	direct f4-ratio	0.013830104321907599	0.2	1
eur_9	24000	direct f4-ratio	0.015886736214605065	0.2	1
eur_10	22000	direct f4-ratio	0.02023845007451565	0.2	1
eur_11	20000	direct f4-ratio	0.023070044709388973	0.2	1
eur_12	18000	direct f4-ratio	0.020536512667660208	0.2	1
eur_13	16000	direct f4-ratio	0.021073025335320416	0.2	1
eur_14	14000	direct f4-ratio	0.0032488822652757075	0.2	1
eur_15	12000	direct f4-ratio	0.030193740685543962	0.2	1
eur_16	10000	direct f4-ratio	0.007242921013412816	0.2	1
eur_17	8000	direct f4-ratio	0.011028315946348732	0.2	1
eur_18	6000	direct f4-ratio	0.018986587183308493	0.2	1
eur_19	4000	direct f4-ratio	0.015290611028315946	0.2	1
eur_20	2000	direct f4-ratio	0.007630402384500745	0.2	1
eur_21	0	direct f4-ratio	0.01171385991058122	0.2	1
eur_1	40000	direct f4-ratio	0.014444280005919786	0.225	1
eur_2	38000	direct f4-ratio	0.037057865916827	0.225	1
eur_3	36000	direct f4-ratio	0.028681367470771053	0.225	1
eur_4	34000	direct f4-ratio	0.018588130827290217	0.225	1
eur_5	32000	direct f4-ratio	0.06470327068225544	0.225	1
eur_6	30000	direct f4-ratio	0.02051206156578363	0.225	1
eur_7	28000	direct f4-ratio	0.00935326328252183	0.225	1
